ClientId Domain,Client Id,Status,GiasId,GiasId Type,Client Id Encrypted
"3PCustomerSales","279260901907201","SUCCESSFUL","31230239684797000129550010000066721975961506","NFE_ACCESS_CODE",
"3PCustomerSales","279390173270201","SUCCESSFUL","35230310915083000100550040000315061109150830","NFE_ACCESS_CODE",
"3PCustomerSales","279301204923201","SUCCESSFUL","35230234930490000147550010000889151349304901","NFE_ACCESS_CODE",
"3PCustomerSales","279066622666201","SUCCESSFUL","35230246769581000121550020000352101154063399","NFE_ACCESS_CODE",
"3PCustomerSales","279228396655201","SUCCESSFUL","35230218009967000108550010001003891965449600","NFE_ACCESS_CODE",
"3PCustomerSales","279248735493201","SUCCESSFUL","35230374671991000170550010000034441746719919","NFE_ACCESS_CODE",
"3PCustomerSales","279300441472201","SUCCESSFUL","35230217642282000123550010007848341305486001","NFE_ACCESS_CODE",
"3PCustomerSales","278822909807201","SUCCESSFUL","31230246078624000122550010000228291343021477","NFE_ACCESS_CODE",
"3PCustomerSales","279135056356201","SUCCESSFUL","32230214548476000338550010015912801087385703","NFE_ACCESS_CODE",
"3PCustomerSales","279120607532201","SUCCESSFUL","32230213477477000457550030000364281134774770","NFE_ACCESS_CODE",
"3PCustomerSales","279339608210201","SUCCESSFUL","31230337073838000115550010000518401999487176","NFE_ACCESS_CODE",
"3PCustomerSales","278968523756201","SUCCESSFUL","35230234642836000101550050000205321203902731","NFE_ACCESS_CODE",
"3PCustomerSales","279263941463201","SUCCESSFUL","35230268929413000199550040000013001116400817","NFE_ACCESS_CODE",
"3PCustomerSales","279267369121201","SUCCESSFUL","31230328678322000103550010000162231010907521","NFE_ACCESS_CODE",
"3PCustomerSales","279305007605201","SUCCESSFUL","41230223647628000189550010000806601990125354","NFE_ACCESS_CODE",
"3PCustomerSales","279305764270201","SUCCESSFUL","35230222317436000141550010000197511990813016","NFE_ACCESS_CODE",
"3PCustomerSales","279276113233201","SUCCESSFUL","35230246769581000121550020000355141156355139","NFE_ACCESS_CODE",
