ClientId Domain,Client Id,Status,GiasId,GiasId Type,Client Id Encrypted
"3PCustomerSales","280436378455201","SUCCESSFUL","29230344301937000172550010000031621370939209","NFE_ACCESS_CODE",
"3PCustomerSales","280121406278201","SUCCESSFUL","52230339677746000170550020000334921379357240","NFE_ACCESS_CODE",
"3PCustomerSales","280446478324201","SUCCESSFUL","35230336670808000123550040000854561381049222","NFE_ACCESS_CODE",
"3PCustomerSales","280092125143201","SUCCESSFUL","52230339677746000170550020000335221386601151","NFE_ACCESS_CODE",
"3PCustomerSales","280172073466201","SUCCESSFUL","52230339677746000170550020000334611379200662","NFE_ACCESS_CODE",
"3PCustomerSales","280118560366201","SUCCESSFUL","52230339677746000170550020000334791379331427","NFE_ACCESS_CODE",
"3PCustomerSales","280365604388201","SUCCESSFUL","31230329537195000195550100001157431033982646","NFE_ACCESS_CODE",
"3PCustomerSales","280108100830201","SUCCESSFUL","52230339677746000170550020000335231386604395","NFE_ACCESS_CODE",
"3PCustomerSales","280344753025201","SUCCESSFUL","31230329537195000195550100001157011910792642","NFE_ACCESS_CODE",
"3PCustomerSales","280381886433201","SUCCESSFUL","35230322317436000141550010000200961353708092","NFE_ACCESS_CODE",
"3PCustomerSales","280426773665201","SUCCESSFUL","31230329537195000195550100001157871997339320","NFE_ACCESS_CODE",
"3PCustomerSales","280420257545201","SUCCESSFUL","29230339719121000123550020000291351360521615","NFE_ACCESS_CODE",
"3PCustomerSales","280403204600201","SUCCESSFUL","35230367508572000157550030000015021362614698","NFE_ACCESS_CODE",
"3PCustomerSales","280412621267201","SUCCESSFUL","35230322317436000141550010000200991357127436","NFE_ACCESS_CODE",
"3PCustomerSales","280072227759201","SUCCESSFUL","52230339677746000170550020000335241386607901","NFE_ACCESS_CODE",
"3PCustomerSales","280373999463201","SUCCESSFUL","31230329537195000195550100001157541508386205","NFE_ACCESS_CODE",
"3PCustomerSales","280431549192201","SUCCESSFUL","31230336548165000140550010000145321370435416","NFE_ACCESS_CODE",
"3PCustomerSales","280441350916201","SUCCESSFUL","31230329537195000195550100001158281322671789","NFE_ACCESS_CODE",
"3PCustomerSales","280435594659201","SUCCESSFUL","35230322317436000141550010000201121376443961","NFE_ACCESS_CODE",
"3PCustomerSales","280381694400201","SUCCESSFUL","31230329537195000195550100001157621137371053","NFE_ACCESS_CODE",
